user_id,position,title,link,authors,publication,publication_year,cited_by_count
PT8wxO8AAAAJ,48,Novel score functions of generalized orthopair fuzzy membership grades with application to multiple attribute decision making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:vbti4gW_9XwC,"F Feng, Y Zheng, B Sun, M Akram","Granular Computing, 1-17",2022,72
PT8wxO8AAAAJ,49,On fuzzy d-algebras,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:IjCSPb-OGe4C,"M Akram, KH Dar","Punjab university journal of mathematics 37, 61-76",2005,72
PT8wxO8AAAAJ,50,Group Decision-Making Based on ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:URGbnSt0D2cC,"A Adeel, M Akram, ANA Koam","Symmetry 11 (6), 735",2019,70
PT8wxO8AAAAJ,51,A New Multi-Attribute Decision-Making Method Based on ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:QoJ_w57xiyAC,"M Akram, G Ali, NO Alshehri","Symmetry 9 (11), 271",2017,70
PT8wxO8AAAAJ,52,An integrated ELECTRE-I approach for risk evaluation with hesitant Pythagorean fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:SZzxPo9m4nkC,"M Akram, A Luqman, JCR Alcantud","Expert Systems with Applications 200, 116945",2022,69
PT8wxO8AAAAJ,53,Hybrid models for decision-making based on rough Pythagorean fuzzy bipolar soft information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:wgKq3sYidysC,"M Akram, G Ali","Granular Computing 5, 1-15",2020,69
PT8wxO8AAAAJ,54,Specific types of Pythagorean fuzzy graphs and application to decision-making,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:kQqwFFzsCTwC,"M Akram, A Habib, F Ilyas, J Mohsan Dar","Mathematical and Computational Applications 23 (3), 42",2018,69
PT8wxO8AAAAJ,55,A hybrid decision-making model under ,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:Q17yWvk9gpwC,"M Akram, G Shahzadi","Granular Computing 6, 763-777",2021,67
PT8wxO8AAAAJ,56,Hesitant Pythagorean fuzzy ELECTRE-II method for multi-criteria decision-making problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:xyzrkeHX5M4C,"M Akram, A Luqman, C Kahraman","Applied Soft Computing 108, 107479",2021,67
PT8wxO8AAAAJ,57,Group decision-making framework under linguistic q-rung orthopair fuzzy Einstein models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:XAEgxC7iu0MC,"M Akram, S Naz, SA Edalatpanah, R Mehreen","Soft Computing 25 (15), 10309-10334",2021,67
